# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-31 22:34:44 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11335000 COSUMNES R A MICHIGAN BAR CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11335000
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11335000	1907-10-01	67	A
USGS	11335000	1907-10-02	67	A
USGS	11335000	1907-10-03	67	A
USGS	11335000	1907-10-04	67	A
USGS	11335000	1907-10-05	67	A
USGS	11335000	1907-10-06	67	A
USGS	11335000	1907-10-07	67	A
USGS	11335000	1907-10-08	67	A
USGS	11335000	1907-10-09	67	A
USGS	11335000	1907-10-10	67	A
USGS	11335000	1907-10-11	67	A
USGS	11335000	1907-10-12	67	A
USGS	11335000	1907-10-13	67	A
USGS	11335000	1907-10-14	67	A
USGS	11335000	1907-10-15	67	A
USGS	11335000	1907-10-16	67	A
USGS	11335000	1907-10-17	67	A
USGS	11335000	1907-10-18	67	A
USGS	11335000	1907-10-19	67	A
USGS	11335000	1907-10-20	67	A
USGS	11335000	1907-10-21	67	A
USGS	11335000	1907-10-22	67	A
USGS	11335000	1907-10-23	67	A
USGS	11335000	1907-10-24	67	A
USGS	11335000	1907-10-25	67	A
USGS	11335000	1907-10-26	67	A
USGS	11335000	1907-10-27	67	A
USGS	11335000	1907-10-28	67	A
USGS	11335000	1907-10-29	67	A
USGS	11335000	1907-10-30	67	A
USGS	11335000	1907-10-31	67	A
USGS	11335000	1907-11-01	80	A
USGS	11335000	1907-11-02	80	A
USGS	11335000	1907-11-03	80	A
USGS	11335000	1907-11-04	80	A
USGS	11335000	1907-11-05	80	A
USGS	11335000	1907-11-06	80	A
USGS	11335000	1907-11-07	80	A
USGS	11335000	1907-11-08	70	A
USGS	11335000	1907-11-09	80	A
USGS	11335000	1907-11-10	70	A
USGS	11335000	1907-11-11	61	A
USGS	11335000	1907-11-12	70	A
USGS	11335000	1907-11-13	70	A
USGS	11335000	1907-11-14	70	A
USGS	11335000	1907-11-15	70	A
USGS	11335000	1907-11-16	61	A
USGS	11335000	1907-11-17	61	A
USGS	11335000	1907-11-18	61	A
USGS	11335000	1907-11-19	61	A
USGS	11335000	1907-11-20	80	A
USGS	11335000	1907-11-21	80	A
USGS	11335000	1907-11-22	80	A
USGS	11335000	1907-11-23	185	A
USGS	11335000	1907-11-24	80	A
USGS	11335000	1907-11-25	80	A
USGS	11335000	1907-11-26	80	A
USGS	11335000	1907-11-27	70	A
USGS	11335000	1907-11-28	70	A
USGS	11335000	1907-11-29	70	A
USGS	11335000	1907-11-30	61	A
USGS	11335000	1907-12-01	70	A
USGS	11335000	1907-12-02	70	A
USGS	11335000	1907-12-03	70	A
USGS	11335000	1907-12-04	70	A
USGS	11335000	1907-12-05	61	A
USGS	11335000	1907-12-06	91	A
USGS	11335000	1907-12-07	205	A
USGS	11335000	1907-12-08	305	A
USGS	11335000	1907-12-09	205	A
USGS	11335000	1907-12-10	140	A
USGS	11335000	1907-12-11	452	A
USGS	11335000	1907-12-12	225	A
USGS	11335000	1907-12-13	185	A
USGS	11335000	1907-12-14	185	A
USGS	11335000	1907-12-15	153	A
USGS	11335000	1907-12-16	153	A
USGS	11335000	1907-12-17	153	A
USGS	11335000	1907-12-18	126	A
USGS	11335000	1907-12-19	102	A
USGS	11335000	1907-12-20	153	A
USGS	11335000	1907-12-21	153	A
USGS	11335000	1907-12-22	153	A
USGS	11335000	1907-12-23	153	A
USGS	11335000	1907-12-24	126	A
USGS	11335000	1907-12-25	114	A
USGS	11335000	1907-12-26	126	A
USGS	11335000	1907-12-27	452	A
USGS	11335000	1907-12-28	372	A
USGS	11335000	1907-12-29	305	A
USGS	11335000	1907-12-30	225	A
USGS	11335000	1907-12-31	700	A
USGS	11335000	1908-01-01	372	A
USGS	11335000	1908-01-02	250	A
USGS	11335000	1908-01-03	205	A
USGS	11335000	1908-01-04	372	A
USGS	11335000	1908-01-05	250	A
USGS	11335000	1908-01-06	185	A
USGS	11335000	1908-01-07	185	A
USGS	11335000	1908-01-08	153	A
USGS	11335000	1908-01-09	153	A
USGS	11335000	1908-01-10	153	A
USGS	11335000	1908-01-11	153	A
USGS	11335000	1908-01-12	153	A
USGS	11335000	1908-01-13	153	A
USGS	11335000	1908-01-14	590	A
USGS	11335000	1908-01-15	372	A
USGS	11335000	1908-01-16	250	A
USGS	11335000	1908-01-17	225	A
USGS	11335000	1908-01-18	225	A
USGS	11335000	1908-01-19	225	A
USGS	11335000	1908-01-20	410	A
USGS	11335000	1908-01-21	2020	A
USGS	11335000	1908-01-22	1080	A
USGS	11335000	1908-01-23	700	A
USGS	11335000	1908-01-24	1760	A
USGS	11335000	1908-01-25	820	A
USGS	11335000	1908-01-26	645	A
USGS	11335000	1908-01-27	495	A
USGS	11335000	1908-01-28	410	A
USGS	11335000	1908-01-29	335	A
USGS	11335000	1908-01-30	335	A
USGS	11335000	1908-01-31	275	A
USGS	11335000	1908-02-01	275	A
USGS	11335000	1908-02-02	335	A
USGS	11335000	1908-02-03	542	A
USGS	11335000	1908-02-04	410	A
USGS	11335000	1908-02-05	335	A
USGS	11335000	1908-02-06	335	A
USGS	11335000	1908-02-07	275	A
USGS	11335000	1908-02-08	275	A
USGS	11335000	1908-02-09	495	A
USGS	11335000	1908-02-10	410	A
USGS	11335000	1908-02-11	335	A
USGS	11335000	1908-02-12	335	A
USGS	11335000	1908-02-13	275	A
USGS	11335000	1908-02-14	275	A
USGS	11335000	1908-02-15	275	A
USGS	11335000	1908-02-16	275	A
USGS	11335000	1908-02-17	250	A
USGS	11335000	1908-02-18	250	A
USGS	11335000	1908-02-19	225	A
USGS	11335000	1908-02-20	225	A
USGS	11335000	1908-02-21	225	A
USGS	11335000	1908-02-22	185	A
USGS	11335000	1908-02-23	185	A
USGS	11335000	1908-02-24	185	A
USGS	11335000	1908-02-25	185	A
USGS	11335000	1908-02-26	185	A
USGS	11335000	1908-02-27	185	A
USGS	11335000	1908-02-28	225	A
USGS	11335000	1908-02-29	495	A
USGS	11335000	1908-03-01	542	A
USGS	11335000	1908-03-02	820	A
USGS	11335000	1908-03-03	820	A
USGS	11335000	1908-03-04	645	A
USGS	11335000	1908-03-05	495	A
USGS	11335000	1908-03-06	452	A
USGS	11335000	1908-03-07	410	A
USGS	11335000	1908-03-08	410	A
USGS	11335000	1908-03-09	335	A
USGS	11335000	1908-03-10	335	A
USGS	11335000	1908-03-11	372	A
USGS	11335000	1908-03-12	410	A
USGS	11335000	1908-03-13	410	A
USGS	11335000	1908-03-14	495	A
USGS	11335000	1908-03-15	542	A
USGS	11335000	1908-03-16	645	A
USGS	11335000	1908-03-17	700	A
USGS	11335000	1908-03-18	700	A
USGS	11335000	1908-03-19	645	A
USGS	11335000	1908-03-20	590	A
USGS	11335000	1908-03-21	590	A
USGS	11335000	1908-03-22	590	A
USGS	11335000	1908-03-23	542	A
USGS	11335000	1908-03-24	495	A
USGS	11335000	1908-03-25	542	A
USGS	11335000	1908-03-26	542	A
USGS	11335000	1908-03-27	452	A
USGS	11335000	1908-03-28	372	A
USGS	11335000	1908-03-29	305	A
USGS	11335000	1908-03-30	335	A
USGS	11335000	1908-03-31	335	A
USGS	11335000	1908-04-01	335	A
USGS	11335000	1908-04-02	335	A
USGS	11335000	1908-04-03	335	A
USGS	11335000	1908-04-04	335	A
USGS	11335000	1908-04-05	335	A
USGS	11335000	1908-04-06	335	A
USGS	11335000	1908-04-07	305	A
USGS	11335000	1908-04-08	335	A
USGS	11335000	1908-04-09	275	A
USGS	11335000	1908-04-10	275	A
USGS	11335000	1908-04-11	305	A
USGS	11335000	1908-04-12	335	A
USGS	11335000	1908-04-13	335	A
USGS	11335000	1908-04-14	372	A
USGS	11335000	1908-04-15	372	A
USGS	11335000	1908-04-16	335	A
USGS	11335000	1908-04-17	335	A
USGS	11335000	1908-04-18	335	A
USGS	11335000	1908-04-19	335	A
USGS	11335000	1908-04-20	335	A
USGS	11335000	1908-04-21	335	A
USGS	11335000	1908-04-22	335	A
USGS	11335000	1908-04-23	372	A
USGS	11335000	1908-04-24	335	A
USGS	11335000	1908-04-25	335	A
USGS	11335000	1908-04-26	305	A
USGS	11335000	1908-04-27	275	A
USGS	11335000	1908-04-28	275	A
USGS	11335000	1908-04-29	275	A
USGS	11335000	1908-04-30	275	A
USGS	11335000	1908-05-01	275	A
USGS	11335000	1908-05-02	305	A
USGS	11335000	1908-05-03	335	A
USGS	11335000	1908-05-04	275	A
USGS	11335000	1908-05-05	275	A
USGS	11335000	1908-05-06	275	A
USGS	11335000	1908-05-07	250	A
USGS	11335000	1908-05-08	275	A
USGS	11335000	1908-05-09	275	A
USGS	11335000	1908-05-10	275	A
USGS	11335000	1908-05-11	305	A
USGS	11335000	1908-05-12	335	A
USGS	11335000	1908-05-13	335	A
USGS	11335000	1908-05-14	335	A
USGS	11335000	1908-05-15	590	A
USGS	11335000	1908-05-16	452	A
USGS	11335000	1908-05-17	372	A
USGS	11335000	1908-05-18	372	A
USGS	11335000	1908-05-19	495	A
USGS	11335000	1908-05-20	452	A
USGS	11335000	1908-05-21	410	A
USGS	11335000	1908-05-22	410	A
USGS	11335000	1908-05-23	410	A
USGS	11335000	1908-05-24	335	A
USGS	11335000	1908-05-25	335	A
USGS	11335000	1908-05-26	335	A
USGS	11335000	1908-05-27	275	A
USGS	11335000	1908-05-28	275	A
USGS	11335000	1908-05-29	275	A
USGS	11335000	1908-05-30	250	A
USGS	11335000	1908-05-31	250	A
USGS	11335000	1908-06-01	225	A
USGS	11335000	1908-06-02	205	A
USGS	11335000	1908-06-03	205	A
USGS	11335000	1908-06-04	185	A
USGS	11335000	1908-06-05	185	A
USGS	11335000	1908-06-06	153	A
USGS	11335000	1908-06-07	153	A
USGS	11335000	1908-06-08	153	A
USGS	11335000	1908-06-09	153	A
USGS	11335000	1908-06-10	126	A
USGS	11335000	1908-06-11	126	A
USGS	11335000	1908-06-12	126	A
USGS	11335000	1908-06-13	126	A
USGS	11335000	1908-06-14	102	A
USGS	11335000	1908-06-15	102	A
USGS	11335000	1908-06-16	102	A
USGS	11335000	1908-06-17	80	A
USGS	11335000	1908-06-18	91	A
USGS	11335000	1908-06-19	80	A
USGS	11335000	1908-06-20	80	A
USGS	11335000	1908-06-21	80	A
USGS	11335000	1908-06-22	91	A
USGS	11335000	1908-06-23	80	A
USGS	11335000	1908-06-24	80	A
USGS	11335000	1908-06-25	61	A
USGS	11335000	1908-06-26	61	A
USGS	11335000	1908-06-27	61	A
USGS	11335000	1908-06-28	54	A
USGS	11335000	1908-06-29	46	A
USGS	11335000	1908-06-30	46	A
USGS	11335000	1908-07-01	46	A
USGS	11335000	1908-07-02	40	A
USGS	11335000	1908-07-03	33	A
USGS	11335000	1908-07-04	33	A
USGS	11335000	1908-07-05	33	A
USGS	11335000	1908-07-06	33	A
USGS	11335000	1908-07-07	33	A
USGS	11335000	1908-07-08	22	A
USGS	11335000	1908-07-09	22	A
USGS	11335000	1908-07-10	13	A
USGS	11335000	1908-07-11	13	A
USGS	11335000	1908-07-12	13	A
USGS	11335000	1908-07-13	13	A
USGS	11335000	1908-07-14	9.5	A
USGS	11335000	1908-07-15	6.0	A
USGS	11335000	1908-07-16	6.0	A
USGS	11335000	1908-07-17	4.0	A
USGS	11335000	1908-07-18	4.0	A
USGS	11335000	1908-07-19	4.0	A
USGS	11335000	1908-07-20	2.0	A
USGS	11335000	1908-07-21	2.0	A
USGS	11335000	1908-07-22	2.0	A
USGS	11335000	1908-07-23	2.0	A
USGS	11335000	1908-07-24	1.0	A
USGS	11335000	1908-07-25	0.00	A
USGS	11335000	1908-07-26	0.00	A
USGS	11335000	1908-07-27	0.00	A
USGS	11335000	1908-07-28	0.00	A
USGS	11335000	1908-07-29	0.00	A
USGS	11335000	1908-07-30	0.00	A
USGS	11335000	1908-07-31	0.00	A
USGS	11335000	1908-08-01	0.00	A
USGS	11335000	1908-08-02	0.00	A
USGS	11335000	1908-08-03	0.00	A
USGS	11335000	1908-08-04	0.00	A
USGS	11335000	1908-08-05	0.00	A
USGS	11335000	1908-08-06	0.00	A
USGS	11335000	1908-08-07	0.00	A
USGS	11335000	1908-08-08	0.00	A
USGS	11335000	1908-08-09	0.00	A
USGS	11335000	1908-08-10	0.00	A
USGS	11335000	1908-08-11	0.00	A
USGS	11335000	1908-08-12	0.00	A
USGS	11335000	1908-08-13	0.00	A
USGS	11335000	1908-08-14	0.00	A
USGS	11335000	1908-08-15	0.00	A
USGS	11335000	1908-08-16	0.00	A
USGS	11335000	1908-08-17	0.00	A
USGS	11335000	1908-08-18	0.00	A
USGS	11335000	1908-08-19	0.00	A
USGS	11335000	1908-08-20	0.00	A
USGS	11335000	1908-08-21	0.00	A
USGS	11335000	1908-08-22	0.00	A
USGS	11335000	1908-08-23	0.00	A
USGS	11335000	1908-08-24	0.00	A
USGS	11335000	1908-08-25	0.00	A
USGS	11335000	1908-08-26	0.00	A
USGS	11335000	1908-08-27	0.00	A
USGS	11335000	1908-08-28	0.00	A
USGS	11335000	1908-08-29	0.00	A
USGS	11335000	1908-08-30	0.00	A
USGS	11335000	1908-08-31	0.00	A
USGS	11335000	1908-09-01	0.00	A
USGS	11335000	1908-09-02	0.00	A
USGS	11335000	1908-09-03	0.00	A
USGS	11335000	1908-09-04	0.00	A
USGS	11335000	1908-09-05	0.00	A
USGS	11335000	1908-09-06	0.00	A
USGS	11335000	1908-09-07	0.00	A
USGS	11335000	1908-09-08	0.00	A
USGS	11335000	1908-09-09	0.00	A
USGS	11335000	1908-09-10	0.00	A
USGS	11335000	1908-09-11	0.00	A
USGS	11335000	1908-09-12	0.00	A
USGS	11335000	1908-09-13	0.00	A
USGS	11335000	1908-09-14	0.00	A
USGS	11335000	1908-09-15	0.00	A
USGS	11335000	1908-09-16	0.00	A
USGS	11335000	1908-09-17	1.0	A
USGS	11335000	1908-09-18	1.0	A
USGS	11335000	1908-09-19	1.0	A
USGS	11335000	1908-09-20	1.0	A
USGS	11335000	1908-09-21	2.0	A
USGS	11335000	1908-09-22	2.0	A
USGS	11335000	1908-09-23	2.0	A
USGS	11335000	1908-09-24	2.0	A
USGS	11335000	1908-09-25	2.0	A
USGS	11335000	1908-09-26	2.0	A
USGS	11335000	1908-09-27	2.0	A
USGS	11335000	1908-09-28	2.0	A
USGS	11335000	1908-09-29	1.0	A
USGS	11335000	1908-09-30	1.0	A
USGS	11335000	1908-10-01	1.0	A
USGS	11335000	1908-10-02	0.00	A
USGS	11335000	1908-10-03	0.00	A
USGS	11335000	1908-10-04	0.00	A
USGS	11335000	1908-10-05	0.00	A
USGS	11335000	1908-10-06	0.00	A
USGS	11335000	1908-10-07	0.00	A
USGS	11335000	1908-10-08	0.00	A
USGS	11335000	1908-10-09	0.00	A
USGS	11335000	1908-10-10	1.0	A
USGS	11335000	1908-10-11	1.0	A
USGS	11335000	1908-10-12	0.00	A
USGS	11335000	1908-10-13	0.00	A
USGS	11335000	1908-10-14	0.00	A
USGS	11335000	1908-10-15	2.0	A
USGS	11335000	1908-10-16	46	A
USGS	11335000	1908-10-17	70	A
USGS	11335000	1908-10-18	46	A
USGS	11335000	1908-10-19	33	A
USGS	11335000	1908-10-20	22	A
USGS	11335000	1908-10-21	18	A
USGS	11335000	1908-10-22	13	A
USGS	11335000	1908-10-23	13	A
USGS	11335000	1908-10-24	13	A
USGS	11335000	1908-10-25	13	A
USGS	11335000	1908-10-26	9.5	A
USGS	11335000	1908-10-27	9.5	A
USGS	11335000	1908-10-28	9.5	A
USGS	11335000	1908-10-29	9.5	A
USGS	11335000	1908-10-30	9.5	A
USGS	11335000	1908-10-31	9.5	A
USGS	11335000	1908-11-01	9.5	A
USGS	11335000	1908-11-02	9.5	A
USGS	11335000	1908-11-03	9.5	A
USGS	11335000	1908-11-04	9.5	A
USGS	11335000	1908-11-05	9.5	A
USGS	11335000	1908-11-06	9.5	A
USGS	11335000	1908-11-07	9.5	A
USGS	11335000	1908-11-08	9.5	A
USGS	11335000	1908-11-09	9.5	A
USGS	11335000	1908-11-10	9.5	A
USGS	11335000	1908-11-11	9.5	A
USGS	11335000	1908-11-12	9.5	A
USGS	11335000	1908-11-13	9.5	A
USGS	11335000	1908-11-14	9.5	A
USGS	11335000	1908-11-15	13	A
USGS	11335000	1908-11-16	13	A
USGS	11335000	1908-11-17	9.5	A
USGS	11335000	1908-11-18	13	A
USGS	11335000	1908-11-19	13	A
USGS	11335000	1908-11-20	13	A
USGS	11335000	1908-11-21	6.0	A
USGS	11335000	1908-11-22	13	A
USGS	11335000	1908-11-23	80	A
USGS	11335000	1908-11-24	114	A
USGS	11335000	1908-11-25	80	A
USGS	11335000	1908-11-26	61	A
USGS	11335000	1908-11-27	46	A
USGS	11335000	1908-11-28	33	A
USGS	11335000	1908-11-29	33	A
USGS	11335000	1908-11-30	33	A
USGS	11335000	1908-12-01	33	A
USGS	11335000	1908-12-02	33	A
USGS	11335000	1908-12-03	33	A
USGS	11335000	1908-12-04	40	A
USGS	11335000	1908-12-05	102	A
USGS	11335000	1908-12-06	153	A
USGS	11335000	1908-12-07	80	A
USGS	11335000	1908-12-08	80	A
USGS	11335000	1908-12-09	61	A
USGS	11335000	1908-12-10	54	A
USGS	11335000	1908-12-11	46	A
USGS	11335000	1908-12-12	46	A
USGS	11335000	1908-12-13	33	A
USGS	11335000	1908-12-14	46	A
USGS	11335000	1908-12-15	46	A
USGS	11335000	1908-12-16	54	A
USGS	11335000	1908-12-17	46	A
