"date","time","sensor_41","datetime"
2011-10-01,"0000",35,2011-10-01
2011-10-02,"0000",34,2011-10-02
2011-10-03,"0000",34,2011-10-03
2011-10-04,"0000",36,2011-10-04
2011-10-05,"0000",54,2011-10-05
2011-10-06,"0000",115,2011-10-06
2011-10-07,"0000",109,2011-10-07
2011-10-08,"0000",84,2011-10-08
2011-10-09,"0000",70,2011-10-09
2011-10-10,"0000",65,2011-10-10
2011-10-11,"0000",97,2011-10-11
2011-10-12,"0000",138,2011-10-12
2011-10-13,"0000",104,2011-10-13
2011-10-14,"0000",79,2011-10-14
2011-10-15,"0000",69,2011-10-15
2011-10-16,"0000",63,2011-10-16
2011-10-17,"0000",60,2011-10-17
2011-10-18,"0000",55,2011-10-18
2011-10-19,"0000",54,2011-10-19
2011-10-20,"0000",53,2011-10-20
2011-10-21,"0000",53,2011-10-21
2011-10-22,"0000",53,2011-10-22
2011-10-23,"0000",52,2011-10-23
2011-10-24,"0000",53,2011-10-24
2011-10-25,"0000",53,2011-10-25
2011-10-26,"0000",50,2011-10-26
2011-10-27,"0000",49,2011-10-27
2011-10-28,"0000",49,2011-10-28
2011-10-29,"0000",49,2011-10-29
2011-10-30,"0000",49,2011-10-30
2011-10-31,"0000",44,2011-10-31
2011-11-01,"0000",47,2011-11-01
2011-11-02,"0000",49,2011-11-02
2011-11-03,"0000",47,2011-11-03
2011-11-04,"0000",46,2011-11-04
2011-11-05,"0000",51,2011-11-05
2011-11-06,"0000",56,2011-11-06
2011-11-07,"0000",57,2011-11-07
2011-11-08,"0000",59,2011-11-08
2011-11-09,"0000",54,2011-11-09
2011-11-10,"0000",53,2011-11-10
2011-11-11,"0000",51,2011-11-11
2011-11-12,"0000",52,2011-11-12
2011-11-13,"0000",55,2011-11-13
2011-11-14,"0000",59,2011-11-14
2011-11-15,"0000",56,2011-11-15
2011-11-16,"0000",53,2011-11-16
2011-11-17,"0000",52,2011-11-17
2011-11-18,"0000",52,2011-11-18
2011-11-19,"0000",55,2011-11-19
2011-11-20,"0000",75,2011-11-20
2011-11-21,"0000",72,2011-11-21
2011-11-22,"0000",69,2011-11-22
2011-11-23,"0000",61,2011-11-23
2011-11-24,"0000",59,2011-11-24
2011-11-25,"0000",58,2011-11-25
2011-11-26,"0000",56,2011-11-26
2011-11-27,"0000",55,2011-11-27
2011-11-28,"0000",55,2011-11-28
2011-11-29,"0000",59,2011-11-29
2011-11-30,"0000",58,2011-11-30
2011-12-01,"0000",56,2011-12-01
2011-12-02,"0000",54,2011-12-02
2011-12-03,"0000",53,2011-12-03
2011-12-04,"0000",52,2011-12-04
2011-12-05,"0000",52,2011-12-05
2011-12-06,"0000",51,2011-12-06
2011-12-07,"0000",52,2011-12-07
2011-12-08,"0000",52,2011-12-08
2011-12-09,"0000",54,2011-12-09
