"","SurveyID","ProjectID","LocationName","Date","Collectors","Longitude","Latitude","SurveyTypeID","Plot.Name","SpeciesVarietalCode","SpeciesVarietalName","Measurement","CanopyID","Woody_DBH_cm","Woody_Height_m","ProjCode","Genus"
"1",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","ACNE","Acer negundo",1,"",6.5,2.57,"HOWY","Acer"
"2",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","POFR","Populus fremontii",2,"",9.3,5.08,"HOWY","Populus"
"3",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","POFR","Populus fremontii",3,"",6.5,3.74,"HOWY","Populus"
"4",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","POFR","Populus fremontii",4,"",7.6,2.68,"HOWY","Populus"
"5",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","POFR","Populus fremontii",5,"",6.3,3.03,"HOWY","Populus"
"6",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","POFR","Populus fremontii",6,"",9.9,4.53,"HOWY","Populus"
"7",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","FRLA","Fraxinus latifolia",9,"",7,4.4,"HOWY","Fraxinus"
"9",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","QULO","Quercus lobata",21,"",18.9,8.1,"HOWY","Quercus"
"10",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",1,"",6.5,4.61,"HOWY","Salix"
"11",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",2,"",24,8,"HOWY","Salix"
